type_id,start_station_id,dest_station_id,price_start,price_dest,volume_remain_start,volume_remain_dest,supply_start,supply_dest,sell_price_low_dest,sell_price_avg_dest,sell_volume_avg_dest
188,60011866,60004588,23.489999771118164,43.9900016784668,48324,43105,274667,159232,34.98,34.98,190510.0
188,60011866,60008494,23.489999771118164,46.790000915527344,48324,71097,274667,595201,28.45,28.45,1027905.0
189,60003760,60004588,75.05999755859375,95.0,84300,440,84300,440,79.18,79.18,163433.0
189,60003760,60008494,75.05999755859375,84.6500015258789,84300,6265,84300,467362,79.94,79.94,378230.0
189,60005686,60004588,85.0,95.0,175200,440,533522,440,79.18,79.18,163433.0
189,60008494,60004588,84.6500015258789,95.0,6265,440,467362,440,79.18,79.18,163433.0
189,60011866,60003760,58.9900016784668,75.05999755859375,71100,84300,583284,84300,62.49,67.515,2318297.0
189,60011866,60004588,58.9900016784668,95.0,71100,440,583284,440,79.18,79.18,163433.0
189,60011866,60008494,58.9900016784668,84.6500015258789,71100,6265,583284,467362,79.94,79.94,378230.0
190,60003760,60004588,75.98999786376953,95.98999786376952,203451,17660,1248164,35660,72.0,77.528,181059.0
190,60008494,60003760,50.9900016784668,75.98999786376953,120650,203451,1790187,1248164,69.0,69.8059,18258323.0
190,60008494,60004588,50.9900016784668,95.98999786376952,120650,17660,1790187,35660,72.0,77.528,181059.0
190,60011866,60003760,48.0,75.98999786376953,324001,203451,324001,1248164,69.0,69.8059,18258323.0
190,60011866,60004588,48.0,95.98999786376952,324001,17660,324001,35660,72.0,77.528,181059.0
191,60003760,60004588,105.5999984741211,117.5999984741211,1973244,13999,2252869,139988,25.04,99.8596,251256.0
191,60005686,60003760,80.88999938964844,105.5999984741211,22608,1973244,434709,2252869,119.8,124.439,2895106.0
191,60005686,60004588,80.88999938964844,117.5999984741211,22608,13999,434709,139988,25.04,99.8596,251256.0
191,60005686,60011866,80.88999938964844,94.9000015258789,22608,332829,434709,465091,33.06,125.443,701794.0
191,60008494,60003760,85.97000122070312,105.5999984741211,54923,1973244,298458,2252869,119.8,124.439,2895106.0
191,60008494,60004588,85.97000122070312,117.5999984741211,54923,13999,298458,139988,25.04,99.8596,251256.0
191,60008494,60011866,85.97000122070312,94.9000015258789,54923,332829,298458,465091,33.06,125.443,701794.0
191,60011866,60003760,94.9000015258789,105.5999984741211,332829,1973244,465091,2252869,119.8,124.439,2895106.0
191,60011866,60004588,94.9000015258789,117.5999984741211,332829,13999,465091,139988,25.04,99.8596,251256.0
192,60003760,60004588,118.9000015258789,132.0,20000,15000,21423229,395000,40.01,88.1252,1111874.0
192,60005686,60003760,99.0,118.9000015258789,13000,20000,1217442,21423229,95.96,96.4341,21860147.0
192,60005686,60004588,99.0,132.0,13000,15000,1217442,395000,40.01,88.1252,1111874.0
192,60008494,60003760,100.0,118.9000015258789,33165,20000,2870111,21423229,95.96,96.4341,21860147.0
192,60008494,60004588,100.0,132.0,33165,15000,2870111,395000,40.01,88.1252,1111874.0
192,60011866,60003760,106.9000015258789,118.9000015258789,18270,20000,68270,21423229,95.96,96.4341,21860147.0
192,60011866,60004588,106.9000015258789,132.0,18270,15000,68270,395000,40.01,88.1252,1111874.0
193,60003760,60004588,105.5999984741211,119.0,136,15000,320818,68756,117.7,117.825,238086.0
193,60003760,60011866,105.5999984741211,145.89999389648438,136,190000,320818,315913,123.0,123.0,3078946.0
193,60004588,60011866,119.0,145.89999389648438,15000,190000,68756,315913,123.0,123.0,3078946.0
193,60005686,60003760,89.80000305175781,105.5999984741211,265714,136,1153556,320818,123.8,126.177,20275570.0
193,60005686,60004588,89.80000305175781,119.0,265714,15000,1153556,68756,117.7,117.825,238086.0
193,60005686,60008494,89.80000305175781,110.9000015258789,265714,238694,1153556,2085285,107.7,109.129,1863915.0
193,60005686,60011866,89.80000305175781,145.89999389648438,265714,190000,1153556,315913,123.0,123.0,3078946.0
193,60008494,60011866,110.9000015258789,145.89999389648438,238694,190000,2085285,315913,123.0,123.0,3078946.0
194,60003760,60004588,23.899999618530277,40.0,526,2599,63531,153879,45.0,45.0,112415.0
194,60003760,60008494,23.899999618530277,42.9900016784668,526,64142,63531,225422,31.37,31.37,1185922.0
194,60003760,60011866,23.899999618530277,37.68999862670898,526,24000,63531,1643321,37.48,37.48,189804.0
194,60011866,60008494,37.68999862670898,42.9900016784668,24000,64142,1643321,225422,31.37,31.37,1185922.0
195,60003760,60004588,34.0,99.0,88000,12092,128679,88863,225.0,225.0,4655.0
195,60003760,60008494,34.0,39.9900016784668,88000,99999,128679,305555,45.35,45.35,368445.0
195,60003760,60011866,34.0,64.98999786376953,88000,5000,128679,105840,7.16,67.4211,1276859.0
195,60005686,60004588,84.0,99.0,74000,12092,74000,88863,225.0,225.0,4655.0
195,60008494,60004588,39.9900016784668,99.0,99999,12092,305555,88863,225.0,225.0,4655.0
195,60008494,60011866,39.9900016784668,64.98999786376953,99999,5000,305555,105840,7.16,67.4211,1276859.0
195,60011866,60004588,64.98999786376953,99.0,5000,12092,105840,88863,225.0,225.0,4655.0
196,60003760,60004588,53.970001220703125,88.87999725341797,112438,37944,156938,129845,33.08,85.055,188847.0
196,60003760,60011866,53.970001220703125,184.0,112438,120199,156938,689688,179.8,179.8,672580.0
